"","Survey","Pos_vocab_Word","Count_pos_word","Neg_vocab_word","Count_neg_word"
"1","01-F18","above and beyond",1,"again and again",0
"2","01-F18","appreciate",0,"appears",1
"3","01-F18","awesome",0,"back and forth",0
"4","01-F18","capable",0,"bandwidth",0
"5","01-F18","cheerfully",1,"challenge",1
"6","01-F18","congrats",0,"could conduct",1
"7","01-F18","congratulations",0,"could have gotten",1
"8","01-F18","courteous",1,"create excessive",0
"9","01-F18","courteousness",0,"did not know what they were doing",0
"10","01-F18","courtiousness",0,"didn't",2
"11","01-F18","devoted",1,"difficulty",1
"12","01-F18","effective",0,"disconnect",0
"13","01-F18","empathetic",0,"doesn't",0
"14","01-F18","excellent",0,"ended up",0
"15","01-F18","excellent attitude",0,"Enterprise",1
"16","01-F18","exceptional",1,"excessively",0
"17","01-F18","extra mile",1,"expected time",0
"18","01-F18","fantastic",1,"get up to speed",1
"19","01-F18","follow-through",0,"glitchy",0
"20","01-F18","friendly",0,"gone down",0
"21","01-F18","generous",0,"hard time",1
"22","01-F18","goes out of their way",0,"haven't been able to",0
"23","01-F18","gracious",0,"impacted",0
"24","01-F18","graciously",0,"inconvenienced",0
"25","01-F18","great",2,"inconvenient",0
"26","01-F18","help",3,"inexperience",0
"27","01-F18","highlight",0,"inferior",0
"28","01-F18","joyful",0,"issues",1
"29","01-F18","kind",1,"little vague",1
"30","01-F18","knowledgeable",0,"many days",0
"31","01-F18","love",1,"need to get better",0
"32","01-F18","love working with",1,"needs work",0
"33","01-F18","loving",0,"negatively",1
"34","01-F18","outstanding",0,"not consistently",1
"35","01-F18","patient",0,"not yet",1
"36","01-F18","perseverance",0,"on hold",1
"37","01-F18","pleasant",0,"out of date",0
"38","01-F18","pleasure",1,"problematic",0
"39","01-F18","professional",1,"problems",0
"40","01-F18","prompt",0,"really need",1
"41","01-F18","quick to respond",0,"should strive",1
"42","01-F18","responsive",0,"slow",0
"43","01-F18","satisfied",1,"take too long",0
"44","01-F18","shining star",0,"taken months",0
"45","01-F18","skilled",0,"takes many days",0
"46","01-F18","solution-oriented",0,"takes too long",0
"47","01-F18","super",0,"too busy",1
"48","01-F18","thank you",0,"too many days",0
"49","01-F18","thanks",0,"unhelpful",0
"50","01-F18","thorough",0,"unnecessarily",1
"51","01-F18","very good",0,"vague",1
"52","01-F18","warm",0,"wasn't efficient",0
"53","01-F18","willing",0,"well-intentioned",0
"54","01-F18","willing to help",0,"would have been nice",1
"55","01-F18","wonderful",0,"would like to know",0
