"","Word","Count","Type"
"1","help",30,"Pos"
"2","great",10,"Pos"
"3","responsive",7,"Pos"
"4","professional",6,"Pos"
"5","appreciate",5,"Pos"
"6","patient",5,"Pos"
"7","timely",5,"Pos"
"8","friendly",4,"Pos"
"9","easy",3,"Pos"
"10","knowledgeable",3,"Pos"
"11","prompt",3,"Pos"
"12","very helpful",3,"Pos"
"13","willing",3,"Pos"
"14","always patient",2,"Pos"
"15","appreciated",2,"Pos"
"16","courteous",2,"Pos"
"17","devoted",2,"Pos"
"18","effective",2,"Pos"
"19","excellent",2,"Pos"
"20","gracious",2,"Pos"
"21","highlight",2,"Pos"
"22","kind",2,"Pos"
"23","love",2,"Pos"
"24","love working with",2,"Pos"
"25","outstanding",2,"Pos"
"26","pleasant",2,"Pos"
"27","skilled",2,"Pos"
"28","very good",2,"Pos"
"29","above and beyond",1,"Pos"
"30","always ready",1,"Pos"
"31","awesome",1,"Pos"
"32","capable",1,"Pos"
"33","cheerfully",1,"Pos"
"34","competent",1,"Pos"
"35","couldn't do my job without",1,"Pos"
"36","easy to follow",1,"Pos"
"37","empathetic",1,"Pos"
"38","excellent attitude",1,"Pos"
"39","exceptional",1,"Pos"
"40","extra mile",1,"Pos"
"41","fantastic",1,"Pos"
"42","favorite people",1,"Pos"
"43","follow-through",1,"Pos"
"44","fun to work with",1,"Pos"
"45","generous",1,"Pos"
"46","goes out of their way",1,"Pos"
"47","graciously",1,"Pos"
"48","hard work",1,"Pos"
"49","joy to work with",1,"Pos"
"50","joyful",1,"Pos"
"51","loving",1,"Pos"
"52","perseverance",1,"Pos"
"53","pleasure",1,"Pos"
"54","quick to respond",1,"Pos"
"55","quicker",1,"Pos"
"56","satisfied",1,"Pos"
"57","shining star",1,"Pos"
"58","solution-oriented",1,"Pos"
"59","speed",1,"Pos"
"60","super",1,"Pos"
"61","super competent",1,"Pos"
"62","supporting the Cause",1,"Pos"
"63","thanks",1,"Pos"
"64","they find out",1,"Pos"
"65","thorough",1,"Pos"
"66","upbeat",1,"Pos"
"67","warm",1,"Pos"
"68","Enterprise",5,"Neg"
"69","problems",4,"Neg"
"70","challenge",3,"Neg"
"71","issues",3,"Neg"
"72","didn't",2,"Neg"
"73","doesn't",2,"Neg"
"74","negatively",2,"Neg"
"75","really need",2,"Neg"
"76","slow",2,"Neg"
"77","unnecessarily",2,"Neg"
"78","addressing the issue",1,"Neg"
"79","again and again",1,"Neg"
"80","appears",1,"Neg"
"81","back and forth",1,"Neg"
"82","bandwidth",1,"Neg"
"83","could conduct",1,"Neg"
"84","could have gotten",1,"Neg"
"85","create excessive",1,"Neg"
"86","devote a bit more time",1,"Neg"
"87","did not know what they were doing",1,"Neg"
"88","difficulty",1,"Neg"
"89","disconnect",1,"Neg"
"90","docked",1,"Neg"
"91","ended up",1,"Neg"
"92","endure",1,"Neg"
"93","excessively",1,"Neg"
"94","glitchy",1,"Neg"
"95","hard time",1,"Neg"
"96","haven't been able to",1,"Neg"
"97","having more",1,"Neg"
"98","impacted",1,"Neg"
"99","implications",1,"Neg"
"100","inconvenienced",1,"Neg"
"101","inexperience",1,"Neg"
"102","inferior",1,"Neg"
"103","keep you on hold",1,"Neg"
"104","left straddling",1,"Neg"
"105","little vague",1,"Neg"
"106","many days",1,"Neg"
"107","more palatable",1,"Neg"
"108","need to get better",1,"Neg"
"109","needs some work",1,"Neg"
"110","never know",1,"Neg"
"111","never to call",1,"Neg"
"112","no clear plan",1,"Neg"
"113","not consistently",1,"Neg"
"114","not yet",1,"Neg"
"115","on hold",1,"Neg"
"116","problematic",1,"Neg"
"117","putting off projects",1,"Neg"
"118","should not raise",1,"Neg"
"119","should strive",1,"Neg"
"120","take too long",1,"Neg"
"121","taken months",1,"Neg"
"122","takes many days",1,"Neg"
"123","takes more time",1,"Neg"
"124","too busy",1,"Neg"
"125","unhelpful",1,"Neg"
"126","unresolved",1,"Neg"
"127","upheaval",1,"Neg"
"128","vague",1,"Neg"
"129","well-intentioned",1,"Neg"
"130","what was going on",1,"Neg"
"131","would have been nice",1,"Neg"
"132","would not quite say",1,"Neg"
"133","resolve",4,"Neu"
"134","a good example ",1,"Neu"
"135","answer can be found",1,"Neu"
"136","appropriately",1,"Neu"
"137","can be a winning experience",1,"Neu"
"138","can be addressed",1,"Neu"
"139","conduct themselves",1,"Neu"
"140","could help me",1,"Neu"
"141","customized",1,"Neu"
"142","feedback",1,"Neu"
"143","get up to speed",1,"Neu"
"144","historical knowledge",1,"Neu"
"145","improve everyone's productivity",1,"Neu"
"146","in-depth understanding",1,"Neu"
"147","like to understand",1,"Neu"
"148","might be helpful",1,"Neu"
"149","newer",1,"Neu"
"150","not always",1,"Neu"
"151","not urgent",1,"Neu"
"152","number of occasions",1,"Neu"
"153","out of the box",1,"Neu"
"154","projected time",1,"Neu"
"155","refining the system",1,"Neu"
"156","research",1,"Neu"
"157","simply",1,"Neu"
"158","still important",1,"Neu"
"159","support innovation",1,"Neu"
"160","would benefit by",1,"Neu"
