Positive,Negative
above and beyond,again and again
appreciate,appears
awesome,back and forth
capable,bandwidth
cheerfully,challenge
congrats,could conduct
congratulations,could have gotten
courteous,create excessive
courteousness,did not know what they were doing
courtiousness,didn't
devoted,difficulty
effective,disconnect
empathetic,doesn't
excellent,ended up
excellent attitude,Enterprise
exceptional,excessively
extra mile,expected time
fantastic,get up to speed
follow-through,glitchy
friendly,gone down
generous,hard time
goes out of their way,haven't been able to
gracious,impacted
graciously,inconvenienced
great,inconvenient
help,inexperience
highlight,inferior
joyful,issues
kind,little vague
knowledgeable,many days
love,need to get better
love working with,needs work
loving,negatively
outstanding,not consistently
patient,not yet
perseverance,on hold
pleasant,out of date
pleasure,problematic
professional,problems
prompt,really need
quick to respond,should strive
responsive,slow
satisfied,take too long
shining star,taken months
skilled,takes many days
solution-oriented,takes too long
super,too busy
thank you,too many days
thanks,unhelpful
thorough,unnecessarily
very good,vague
warm,wasn't efficient
willing,well-intentioned
willing to help,would have been nice
wonderful,would like to know
